"SubjectID","ActivityName","AverageMeasurement"
1,"LAYING",-0.420510756586233
1,"SITTING",-0.447341474293014
1,"STANDING",-0.466091268948113
1,"WALKING",-0.0467513312738597
1,"WALKING_DOWNSTAIRS",-0.0101051989024796
1,"WALKING_UPSTAIRS",-0.040383498449088
2,"LAYING",-0.463766851105556
2,"SITTING",-0.457528977480072
2,"STANDING",-0.456789436777469
2,"WALKING",-0.129110051356949
2,"WALKING_DOWNSTAIRS",0.0574252586960993
2,"WALKING_UPSTAIRS",-0.0392052283531944
3,"LAYING",-0.458877420302957
3,"SITTING",-0.424566904678526
3,"STANDING",-0.434587288351153
3,"WALKING",-0.111994494622356
3,"WALKING_DOWNSTAIRS",-0.0493120719143197
3,"WALKING_UPSTAIRS",-0.0921509819637853
4,"LAYING",-0.453451202591667
4,"SITTING",-0.440706049966333
4,"STANDING",-0.426757558798184
4,"WALKING",-0.158928418692083
4,"WALKING_DOWNSTAIRS",-0.087200826005
4,"WALKING_UPSTAIRS",-0.0865139865792756
5,"LAYING",-0.458616688275641
5,"SITTING",-0.442686979881061
5,"STANDING",-0.422331656873601
5,"WALKING",-0.0869260049398899
5,"WALKING_DOWNSTAIRS",0.0374401120648936
5,"WALKING_UPSTAIRS",-0.00686320946851064
6,"LAYING",-0.446437719345614
6,"SITTING",-0.446264094100303
6,"STANDING",-0.446482323233626
6,"WALKING",-0.0800314593800292
6,"WALKING_DOWNSTAIRS",0.0956569046523611
6,"WALKING_UPSTAIRS",-0.0159123397688889
7,"LAYING",-0.447896689807051
7,"SITTING",-0.431842825116597
7,"STANDING",-0.441900164290881
7,"WALKING",-0.0164744586807018
7,"WALKING_DOWNSTAIRS",0.00516629611719858
7,"WALKING_UPSTAIRS",-0.114887448154248
8,"LAYING",-0.445440514311605
8,"SITTING",-0.448267710339855
8,"STANDING",-0.449110903308025
8,"WALKING",0.0356431862548958
8,"WALKING_DOWNSTAIRS",0.109410457716228
8,"WALKING_UPSTAIRS",0.068960059298374
9,"LAYING",-0.444702359683667
9,"SITTING",-0.419739928563333
9,"STANDING",-0.444447167292963
9,"WALKING",-0.0580701729571763
9,"WALKING_DOWNSTAIRS",0.0303104005638214
9,"WALKING_UPSTAIRS",-0.133229550525446
10,"LAYING",-0.455907004301724
10,"SITTING",-0.452898700287068
10,"STANDING",-0.447682068212121
10,"WALKING",-0.0741006263933962
10,"WALKING_DOWNSTAIRS",0.0459671765379386
10,"WALKING_UPSTAIRS",-0.0177438922932624
11,"LAYING",-0.462356465521053
11,"SITTING",-0.453956407455346
11,"STANDING",-0.465617513251773
11,"WALKING",-0.14276707546322
11,"WALKING_DOWNSTAIRS",0.00866126690032609
11,"WALKING_UPSTAIRS",-0.0697794999135802
12,"LAYING",-0.453048602869111
12,"SITTING",-0.449650202315261
12,"STANDING",-0.445015077637978
12,"WALKING",-0.083980209005
12,"WALKING_DOWNSTAIRS",-0.0196487799776322
12,"WALKING_UPSTAIRS",-0.115231959918269
13,"LAYING",-0.453048148794892
13,"SITTING",-0.44932509555068
13,"STANDING",-0.45985602277076
13,"WALKING",-0.0466219388134503
13,"WALKING_DOWNSTAIRS",-0.013345587923617
13,"WALKING_UPSTAIRS",-0.0507211572397273
14,"LAYING",-0.43207186783268
14,"SITTING",-0.440521559304012
14,"STANDING",-0.443758473871778
14,"WALKING",-0.0434904952311017
14,"WALKING_DOWNSTAIRS",0.171475477454963
14,"WALKING_UPSTAIRS",0.122753208937562
15,"LAYING",-0.451714341860625
15,"SITTING",-0.451884377450282
15,"STANDING",-0.452977719723585
15,"WALKING",-0.0931308496332099
15,"WALKING_DOWNSTAIRS",0.0791772589451984
15,"WALKING_UPSTAIRS",-0.0475662146166667
16,"LAYING",-0.455322756287952
16,"SITTING",-0.449454558045169
16,"STANDING",-0.456600722429274
16,"WALKING",-0.122045209124869
16,"WALKING_DOWNSTAIRS",0.0381694655695035
16,"WALKING_UPSTAIRS",-0.0954257186645752
17,"LAYING",-0.454217089579296
17,"SITTING",-0.462075845071354
17,"STANDING",-0.463450818578184
17,"WALKING",-0.0764737096343716
17,"WALKING_DOWNSTAIRS",0.0139675780374275
17,"WALKING_UPSTAIRS",-0.0329826741219097
18,"LAYING",-0.468124725317949
18,"SITTING",-0.465725453615497
18,"STANDING",-0.459124501681507
18,"WALKING",-0.146582062882292
18,"WALKING_DOWNSTAIRS",-0.134546128446121
18,"WALKING_UPSTAIRS",-0.129192926032752
19,"LAYING",-0.462768800019478
19,"SITTING",-0.45504880337032
19,"STANDING",-0.455539161967352
19,"WALKING",0.0209059697273718
19,"WALKING_DOWNSTAIRS",0.217575758813893
19,"WALKING_UPSTAIRS",-0.0136991972579167
20,"LAYING",-0.463021060304657
20,"SITTING",-0.448893014398662
20,"STANDING",-0.43269303569379
20,"WALKING",0.0317574443937908
20,"WALKING_DOWNSTAIRS",0.118734774176593
20,"WALKING_UPSTAIRS",-0.015048873024183
21,"LAYING",-0.451330790140259
21,"SITTING",-0.461190325224902
21,"STANDING",-0.453553179973464
21,"WALKING",-0.0426187259655449
21,"WALKING_DOWNSTAIRS",0.106643892415519
21,"WALKING_UPSTAIRS",-0.0391117219868794
22,"LAYING",-0.441510258572731
22,"SITTING",-0.44478020047078
22,"STANDING",-0.448610892296111
22,"WALKING",0.00556729609853985
22,"WALKING_DOWNSTAIRS",0.0699918247191157
22,"WALKING_UPSTAIRS",0.0546677647000397
23,"LAYING",-0.459693972976852
23,"SITTING",-0.445329585908333
23,"STANDING",-0.453953501085809
23,"WALKING",-0.0211424425930226
23,"WALKING_DOWNSTAIRS",0.0928618259372531
23,"WALKING_UPSTAIRS",-0.00125381654176471
24,"LAYING",-0.462736450876852
24,"SITTING",-0.457766120203382
24,"STANDING",-0.44946059660485
24,"WALKING",-0.128314942947126
24,"WALKING_DOWNSTAIRS",-0.036944472377303
